n	c	k	action	time_micros
20	50	2	PUT	23410
20	50	2	GET	18893
20	50	2	PUT	19254
20	50	2	PUT	5065
20	50	2	PUT	17253
20	50	2	GET	24423
20	50	2	PUT	17972
20	50	2	GET	14611
20	50	2	PUT	15766
20	50	2	PUT	18011
20	50	2	GET	20076
20	50	2	GET	7609
20	50	2	PUT	19288
20	50	2	PUT	17928
20	50	2	GET	21759
20	50	2	GET	4946
20	50	2	PUT	11679
20	50	2	PUT	11321
20	50	2	GET	4949
20	50	2	GET	12032
20	50	2	PUT	16849
20	50	2	GET	16577
20	50	2	GET	4353
20	50	2	PUT	18810
20	50	2	PUT	21676
20	50	2	PUT	4733
20	50	2	GET	12457
20	50	2	PUT	5967
20	50	2	GET	5174
20	50	2	GET	21895
20	50	2	GET	4303
20	50	2	PUT	669
20	50	2	PUT	23530
20	50	2	PUT	10162
20	50	2	GET	2654
20	50	2	GET	8400
20	50	2	GET	8194
20	50	2	GET	8586
20	50	2	GET	3951
20	50	2	PUT	16567
20	50	2	PUT	15127
20	50	2	PUT	16934
20	50	2	GET	11448
20	50	2	GET	911
20	50	2	PUT	16136
20	50	2	PUT	8607
20	50	2	PUT	28822
20	50	2	GET	8073
20	50	2	PUT	21024
20	50	2	PUT	6057
20	50	2	GET	1339
20	50	2	PUT	7069
20	50	2	PUT	15950
20	50	2	PUT	1509
20	50	2	GET	4460
20	50	2	PUT	13187
20	50	2	GET	13084
20	50	2	GET	13848
20	50	2	GET	14563
20	50	2	GET	9026
20	50	2	GET	12634
20	50	2	PUT	10764
20	50	2	GET	15391
20	50	2	PUT	654
20	50	2	GET	9142
20	50	2	GET	3021
20	50	2	GET	4351
20	50	2	PUT	21516
20	50	2	GET	1673
20	50	2	PUT	7330
20	50	2	GET	7966
20	50	2	GET	2359
20	50	2	PUT	14270
20	50	2	PUT	15246
20	50	2	PUT	3203
20	50	2	GET	6279
20	50	2	PUT	8684
20	50	2	GET	12908
20	50	2	GET	9876
20	50	2	GET	7951
20	50	2	GET	14067
20	50	2	GET	7468
20	50	2	GET	7264
20	50	2	GET	2008
20	50	2	GET	12782
20	50	2	PUT	7166
20	50	2	PUT	10841
20	50	2	PUT	10140
20	50	2	PUT	4900
20	50	2	GET	11423
20	50	2	PUT	6491
20	50	2	GET	4893
20	50	2	GET	10424
20	50	2	GET	1345
20	50	2	PUT	4233
20	50	2	GET	10931
20	50	2	GET	10377
20	50	2	PUT	10451
20	50	2	PUT	16206
20	50	2	GET	2239
20	50	2	PUT	10784
20	50	2	GET	680
20	50	2	PUT	12965
20	50	2	PUT	11140
20	50	2	PUT	5060
20	50	2	GET	1002
20	50	2	GET	7390
20	50	2	GET	9393
20	50	2	PUT	7864
20	50	2	GET	5456
20	50	2	PUT	11101
20	50	2	PUT	8337
20	50	2	GET	6224
20	50	2	GET	10706
20	50	2	PUT	9089
20	50	2	PUT	6489
20	50	2	GET	6009
20	50	2	GET	13132
20	50	2	PUT	7562
20	50	2	GET	5172
20	50	2	GET	9998
20	50	2	GET	7018
20	50	2	GET	5692
20	50	2	PUT	7090
20	50	2	GET	4129
20	50	2	GET	5550
20	50	2	GET	3615
20	50	2	GET	430
20	50	2	GET	3016
20	50	2	GET	5582
20	50	2	GET	7925
20	50	2	PUT	4375
20	50	2	GET	5070
20	50	2	GET	2990
20	50	2	GET	1006165
20	50	2	GET	1006534
20	50	2	PUT	3065
20	50	2	PUT	6898
20	50	2	GET	858
20	50	2	GET	4282
20	50	3	PUT	2027
20	50	3	GET	386
20	50	3	PUT	3637
20	50	3	PUT	1319
20	50	3	PUT	515
20	50	3	PUT	528
20	50	3	PUT	5661
20	50	3	PUT	1218
20	50	3	PUT	1455
20	50	3	PUT	6642
20	50	3	PUT	4104
20	50	3	PUT	2052
20	50	3	PUT	1761
20	50	3	GET	3517
20	50	3	PUT	2969
20	50	3	PUT	2764
20	50	3	GET	2541
20	50	3	PUT	5640
20	50	3	PUT	5638
20	50	3	PUT	3615
20	50	3	PUT	6211
20	50	3	PUT	4606
20	50	3	PUT	5943
20	50	3	PUT	8845
20	50	3	PUT	6320
20	50	3	GET	4477
20	50	3	PUT	6426
20	50	3	PUT	12347
20	50	3	GET	5702
20	50	3	PUT	8365
20	50	3	PUT	8142
20	50	3	GET	4947
20	50	3	PUT	5215
20	50	3	GET	5072
20	50	3	PUT	10560
20	50	3	PUT	6402
20	50	3	GET	2365
20	50	3	GET	7337
20	50	3	GET	8755
20	50	3	GET	7877
20	50	3	PUT	1537
20	50	3	GET	7354
20	50	3	PUT	3295
20	50	3	PUT	10804
20	50	3	PUT	9878
20	50	3	PUT	13086
20	50	3	GET	3431
20	50	3	PUT	16269
20	50	3	PUT	2707
20	50	3	PUT	1726
20	50	3	GET	11156
20	50	3	PUT	11157
20	50	3	GET	540
20	50	3	PUT	12284
20	50	3	GET	990
20	50	3	PUT	18791
20	50	3	PUT	13910
20	50	3	GET	6183
20	50	3	GET	4938
20	50	3	PUT	1804
20	50	3	PUT	13922
20	50	3	GET	5961
20	50	3	GET	3989
20	50	3	GET	3388
20	50	3	PUT	3378
20	50	3	PUT	4671
20	50	3	PUT	14919
20	50	3	PUT	13044
20	50	3	PUT	7058
20	50	3	GET	3085
20	50	3	PUT	1291
20	50	3	GET	8161
20	50	3	PUT	21200
20	50	3	GET	12790
20	50	3	PUT	3069
20	50	3	GET	6448
20	50	3	PUT	19707
20	50	3	PUT	20368
20	50	3	GET	5345
20	50	3	GET	9375
20	50	3	GET	9027
20	50	3	GET	17558
20	50	3	PUT	17529
20	50	3	GET	4228
20	50	3	GET	2033
20	50	3	PUT	1189
20	50	3	PUT	786
20	50	3	GET	5397
20	50	3	GET	15844
20	50	3	GET	4955
20	50	3	PUT	6141
20	50	3	GET	21993
20	50	3	PUT	8845
20	50	3	PUT	11898
20	50	3	PUT	22065
20	50	3	GET	2917
20	50	3	PUT	21391
20	50	3	PUT	24470
20	50	3	PUT	22931
20	50	3	PUT	11159
20	50	3	GET	3994
20	50	3	GET	16198
20	50	3	GET	1499
20	50	3	PUT	2624
20	50	3	PUT	21335
20	50	3	PUT	15119
20	50	3	PUT	1045
20	50	3	GET	13771
20	50	3	PUT	11275
20	50	3	PUT	1574
20	50	3	GET	437
20	50	3	PUT	6274
20	50	3	PUT	4946
20	50	3	GET	13785
20	50	3	GET	23050
20	50	3	PUT	29543
20	50	3	GET	9632
20	50	3	GET	2209
20	50	3	PUT	25707
20	50	3	PUT	23566
20	50	3	PUT	1372
20	50	3	PUT	25703
20	50	3	PUT	8509
20	50	3	GET	6596
20	50	3	GET	17867
20	50	3	PUT	1681
20	50	3	GET	4271
20	50	3	GET	12501
20	50	3	PUT	11560
20	50	3	PUT	12769
20	50	3	PUT	1247
20	50	3	GET	15586
20	50	3	GET	3862
20	50	3	GET	14223
20	50	3	PUT	12261
