GET	5130
PUT	29571
PUT	18407
GET	5913
GET	36443
GET	16922
PUT	27732
GET	24844
GET	34825
PUT	25906
GET	38762
GET	18422
PUT	12388
GET	25361
PUT	11886
PUT	22583
PUT	14579
PUT	3276
GET	3782
GET	10753
PUT	6732
PUT	20854
GET	1862
PUT	11969
PUT	20826
PUT	30144
GET	11807
PUT	29069
GET	21478
PUT	8129
GET	16833
PUT	17757
GET	6148
GET	25576
GET	24526
PUT	25240
GET	26879
GET	7118
GET	23098
GET	15987
GET	13925
GET	6745
GET	14266
GET	27070
GET	14642
PUT	9711
PUT	19497
PUT	17201
GET	24309
PUT	20292
GET	17910
PUT	6319
PUT	25761
GET	1682
PUT	21177
GET	18849
GET	8547
GET	26222
GET	14792
GET	11684
GET	14115
GET	18021
PUT	14228
PUT	13225
GET	5285
GET	8746
PUT	12184
PUT	15030
GET	10407
GET	11868
GET	6102
GET	3124
GET	9516
PUT	9349
GET	11459
GET	949
GET	4708
GET	7410
GET	1013149
GET	1003702
GET	1008114
PUT	484
PUT	1291
PUT	945
GET	668
GET	841
GET	7084
PUT	7714
GET	840
PUT	7160
GET	7035
GET	1001049
GET	1001343
GET	1002600
PUT	10932
GET	12969
VALS	40	50	3
PUT	1656
GET	8836
PUT	3820
PUT	1948
PUT	15322
GET	1491
PUT	9547
PUT	8214
GET	5126
PUT	4439
PUT	21469
PUT	21656
PUT	23474
PUT	24065
PUT	5419
PUT	17765
PUT	16115
PUT	20398
PUT	27462
GET	6948
GET	4519
PUT	28420
PUT	1974
GET	6892
GET	13382
PUT	22510
PUT	4113
PUT	33309
PUT	32440
GET	18353
GET	13667
PUT	26453
PUT	36591
PUT	36521
PUT	4538
PUT	25865
GET	7345
GET	4163
PUT	6735
PUT	39144
GET	10220
PUT	40015
PUT	39624
PUT	31616
GET	2200
PUT	8655
GET	6306
PUT	28963
PUT	36570
GET	18270
PUT	34495
GET	10136
PUT	29996
PUT	41182
PUT	39121
PUT	5411
PUT	12658
PUT	38770
GET	9424
GET	22644
GET	2271
PUT	46936
GET	4157
PUT	10510
PUT	42092
PUT	49636
GET	13975
GET	23962
PUT	4077
PUT	3581
GET	8382
PUT	47590
GET	3462
PUT	41616
GET	21693
GET	7743
PUT	46958
GET	15550
GET	14475
PUT	8244
GET	4293
GET	39423
PUT	9959
PUT	50219
GET	19175
PUT	48569
GET	23940
GET	7195
PUT	54098
PUT	57368
PUT	53304
GET	4221
PUT	9898
GET	3789
PUT	48601
GET	8065
GET	7433
PUT	58609
PUT	50319
PUT	64959
GET	4139
PUT	4284
PUT	59610
PUT	23497
GET	22369
GET	35707
GET	23643
GET	1655
GET	33565
GET	46308
PUT	15748
PUT	1084
PUT	8050
PUT	64519
PUT	68185
GET	22348
PUT	17760
GET	23008
GET	2916
GET	6306
GET	28234
GET	53188
PUT	25851
PUT	17707
GET	11243
GET	37517
GET	35804
PUT	36410
PUT	5106
PUT	8926
GET	106
PUT	28706
PUT	35605
PUT	5362
PUT	12878
PUT	3801
GET	13760
GET	20884
GET	4416
GET	10666
GET	28234
PUT	18939
GET	51674
GET	1080
GET	6657
GET	6713
PUT	30030
PUT	13407
GET	39282
GET	26541
GET	39672
GET	7068
PUT	36001
PUT	7770
GET	34124
GET	17494
GET	38194
GET	13712
PUT	21646
PUT	7862
PUT	32974
PUT	5513
GET	21052
PUT	13095
PUT	17904
PUT	26490
GET	31886
GET	10475
PUT	39541
GET	15446
GET	10750
GET	36832
PUT	42453
PUT	16826
PUT	25669
PUT	26938
GET	12650
PUT	43478
GET	2450
GET	24444
PUT	6635
GET	23830
GET	34358
GET	40500
GET	36285
PUT	39028
PUT	16424
PUT	11913
GET	27734
PUT	21904
GET	14063
GET	45671
GET	24082
PUT	461
GET	14870
PUT	18793
PUT	30813
PUT	37951
PUT	12061
PUT	35364
PUT	4737
PUT	26880
PUT	29822
GET	22495
PUT	36154
GET	24452
PUT	30795
GET	18380
GET	13909
PUT	18472
PUT	26476
GET	468
PUT	36271
PUT	40160
GET	655
PUT	18238
GET	31232
GET	29146
GET	36196
GET	28881
GET	36861
GET	22809
PUT	31817
PUT	7000
PUT	27345
PUT	20347
GET	880
GET	16116
GET	39422
GET	6234
GET	3983
GET	25236
GET	42220
PUT	34473
PUT	18095
GET	19469
GET	520
GET	33618
PUT	4129
PUT	32201
PUT	18779
PUT	19708
GET	22759
GET	24094
PUT	33635
GET	33606
GET	3348
PUT	14544
GET	302
GET	25281
GET	13533
GET	17278
GET	22352
GET	28358
PUT	1490
GET	6513
GET	25441
GET	33743
GET	29349
PUT	19786
PUT	12579
PUT	21558
PUT	4980
GET	26420
GET	40515
PUT	12887
PUT	11303
PUT	612
GET	38720
GET	17243
GET	18770
PUT	30317
PUT	30843
GET	3353
PUT	32214
GET	25945
GET	15586
PUT	28383
GET	24339
PUT	28765
GET	19666
GET	15947
GET	15946
GET	16692
GET	7505
GET	8880
PUT	21674
GET	185
GET	11565
GET	11188
GET	6408
PUT	12363
GET	GET	110628937

GET	5795
GET	1002087
PUT	778
GET	1857
PUT	17391
GET	2824
VALS	45	50	3
PUT	6705
PUT	2934
PUT	1546
PUT	2752
PUT	5108
GET	3837
PUT	12341
PUT	5870
PUT	11255
PUT	10409
GET	7322
GET	3204
PUT	14368
PUT	15966
PUT	2927
GET	10514
PUT	14892
PUT	17143
PUT	16286
PUT	20852
PUT	8153
PUT	24614
PUT	19973
GET	9973
PUT	26213
GET	13953
GET	8162
PUT	22198
PUT	22440
PUT	23464
PUT	27305
GET	10709
GET	22363
PUT	25113
PUT	30603
GET	9729
PUT	26947
PUT	7680
PUT	36173
GET	5866
GET	10934
PUT	34497
PUT	22216
PUT	10208
GET	9448
PUT	37544
PUT	37746
PUT	44419
GET	15950
PUT	40885
PUT	36959
